anomes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,vl_pagadorpf,qt_pagadorpf,vl_pagadorpj,qt_pagadorpj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202304,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,35172311.66,236994,12141772.37,11871,31926674.47,179045,10892287.93,38916,10814,386,10676,363
202302,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,28002337.73,178159,4182200.39,5047,26902037.92,127240,6640311.84,14541,9495,217,9584,225
202206,2906857,CAPELA DO ALTO ALEGRE,29,BAHIA,NE,NORDESTE,10168549.61,47018,1882941.57,1940,11055235.6,40900,1899536.11,5302,3177,140,3257,129
202409,3131703,ITABIRA,31,MINAS GERAIS,SE,SUDESTE,408801140.96,2168432,202535074.31,146352,384176757.03,1249628,209095659.97,474090,74232,5138,72379,4765
202504,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,78560878.95,604822,31229124.07,25993,71488996.83,372716,28031126.46,111587,15749,542,15227,513
202204,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,11169715.27,31054,7977451.15,3699,9736722.96,22154,8000335.09,4892,3187,204,3095,201
202011,4307302,ERVAL SECO,43,RIO GRANDE DO SUL,SU,SUL,69110.88,134,28629.0,12,63866.57,134,23235.0,12,64,5,68,5
202211,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,11489109.48,53093,29753024.22,9492,12426821.86,40317,29300369.26,16417,3539,492,3438,473
202212,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,16290711.84,54129,9497695.89,5297,15101636.94,38062,7471013.83,8611,3962,244,3886,245
202304,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,16977339.46,57346,9025343.29,5239,16650290.62,35514,6436000.92,9017,4234,247,4122,241
202108,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,4865389735.55,12325513,4923098317.27,1697513,4963320114.06,11066169,4372400184.53,2844146,1192141,110641,1192040,102459
202205,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,31027088.73,187478,7611045.28,8129,31775023.21,167722,6312710.69,13964,10267,502,11075,459
202208,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,17966067.43,74422,14410234.48,6422,17980611.18,53368,6929533.9,11447,5291,349,5023,328
