ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202302,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,12538660.32,78880,1514440.9,1393,12553034.2,56651,1566347.45,3337,4319,83,4200,84
202203,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,14300059.44,51091,3598631.51,3151,12151078.59,41364,11174302.53,8135,3240,153,3372,141
202212,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,48920546.45,163308,20331885.9,13672,47505536.56,125330,16558147.53,37773,9967,675,10090,720
202504,2807204,Siriri,28,SERGIPE,NE,NORDESTE,18436690.34,168188,2822790.3,3967,17116012.25,98190,2786995.64,12862,4421,86,4422,78
202105,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,13100362.09,27667,6251833.4,2895,14619464.26,26572,4990223.01,3850,4540,346,4521,409
202410,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,32092314.85,218692,2503398.35,2522,29945461.47,141660,2958366.78,9650,6552,105,6191,97
202102,1701903,Araguacema,17,TOCANTINS,NO,NORTE,927417.25,3088,195728.06,170,1530855.91,3001,112058.05,85,587,27,729,27
202303,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,14840037.24,93520,1673527.44,1694,14358018.79,65235,1734480.99,3994,4477,84,4350,84
202011,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,870025.67,1394,680916.84,120,958497.75,1687,819829.27,128,573,42,650,50
202109,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,6043001.55,29542,620789.55,390,5791879.15,26700,1117817.14,1049,2794,52,2771,53
202011,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,77816.12,229,300.0,1,79105.17,232,400.0,2,96,1,86,2
202206,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,10217150.88,40616,734367.62,901,10413974.45,32408,731931.07,2559,2712,51,2713,49
202401,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,66116659.24,276876,26813701.89,22965,66713979.64,167285,24964901.19,64854,11975,837,11816,858
202104,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,2926634.29,9859,110330.63,182,3010887.1,9627,161703.53,209,1444,28,1638,38
202103,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,2360178.47,6989,185902.72,151,2247268.69,6748,151371.72,121,1116,25,1282,25
202207,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,11445793.7,44612,706744.99,860,9882622.11,36441,971918.53,2917,2844,53,2841,51
202208,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,13927517.78,76358,1290244.09,1590,13121903.19,59515,1619852.45,4446,4303,85,4306,95
202502,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,31880131.17,211979,3404176.99,5117,29672760.64,137611,4919688.52,24099,6589,151,6338,148
202507,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,33153149.82,202205,3474386.3,6867,31111744.47,125195,5679772.4,25184,5584,100,5328,89
