AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202401,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,26890522.46,167503,11941890.29,12483,26659043.61,100332,16902624.09,31819,5146,324,5131,313
202407,3165909,SENADOR MODESTINO GONÇALVES,31,MINAS GERAIS,SE,SUDESTE,10343316.4,56838,3590232.37,1750,10111678.74,36089,2885788.24,5657,2160,77,2147,74
202205,2703106,IGACI,27,ALAGOAS,NE,NORDESTE,15986382.12,65627,1414891.83,1690,16304892.97,56940,1316806.94,2551,5207,96,5546,92
202412,4107009,CURIÚVA,41,PARANÁ,SU,SUL,40879867.87,219224,28844343.03,15436,41876889.13,121770,28980651.33,38777,7471,511,7302,491
202410,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,9032184.11,67113,1366338.6,1897,9095704.62,41107,1284591.08,5420,2085,93,2097,83
202205,4107009,CURIÚVA,41,PARANÁ,SU,SUL,15523010.54,49592,14912342.84,5733,16445055.98,38929,13111037.4,8838,4547,328,4414,333
202309,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,23871282.56,136703,12385881.07,10640,23065665.18,89764,18297924.42,26860,4914,300,4962,296
202110,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,10708747.07,42564,5311927.28,3295,10399331.39,36161,5949428.3,6809,3086,152,3193,157
202309,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,24608780.78,173782,2523162.78,2718,24494601.87,115534,3100891.86,9878,8001,145,7578,146
202503,4107009,CURIÚVA,41,PARANÁ,SU,SUL,39799103.27,209463,22189057.6,15279,41578593.23,115660,23494390.91,36481,7584,492,7406,494
